matchId,gameMode,gameType,gameStartDate,gameDuration,summonnersPuuid,championList
EUW1_7187490893,CLASSIC,420,2024-11-15 17:25:16.206000,32,"['pR0zg-Fh8hGHLZ5YKGjhjv6oqmmBZZZDlWJY5raSIPO7Hiz1cYObOI2Inxs-b4C37gtzpBd_Z8xhng', 'm6iPmgW5IMt2C1NxANmQP0R2GiHRwjBgXsZukNAGTEQYL6IV6I0xh3ApJabGYn93Zfib6jZjZyHGaA', '_lSmheWpt_MQTs2Tm_EaJsKgAyuyzuE5gkAZ5hw-X1F8lUPBagOiVQdDP7mxPnX-7w9RjPbTsBiCWg', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ', 'm6Gt-A_U7vRWaO219CV4y4bm1XN84H0t_5nW2eOVuofjgwrkVVXWrreK2qZIMgB9LznhJnT0KuMyKg', 'AvA-7dqR_m-hrHL7WBi3eSv063rc40aViJ911D79i8_mWFtndmLlLHxDJsbgaTSGOtOVzbs3Cf9LJA', 'y3lsDBn47v9vpMTdmid-1wouzkJuSvguQM6JyykyDZYRxRfj7VUAHfzz6r8fY4Y3H2_GAR6dFbq8wg', 'T_eGa8WZ2ZB1Qy9oTHmIf9yuqiLINYN3AwVwGBe8Xhh9XM6neBiZoKmVKac0KgrkkWyUWciM7A6n4Q', 'WvpnYa-f8o1WtI5tiM2Vc32nk_pMpC5JNfNErPRChBVVSN9Ur9Lnc-32AFGl2gesIThoBtkEMoZcpQ', '9rDomfl3tx9b3nU-oQPG8U5a9cLaDsB2HEXPepet80rDnJJFuiupA6BuiDfd8lwcmynMmeHdOeECsA']","['Darius', 'Skarner', 'Seraphine', 'Yasuo', 'Blitzcrank', 'Nasus', 'XinZhao', 'Vex', 'Jhin', 'Senna']"
EUW1_7187434964,CLASSIC,420,2024-11-15 16:38:33.049000,39,"['2WN-VLQk_1aR8QNOYdH11rC3vgCRY-O5R6hmEWUr5a4Dz0d0LAynG80NoT1nVqQMgVH19c_-3bwL3Q', 'Kmo9uLNEXnSHHQJcFQiUtcfXsvUcMy9xzSIk-Y3sb1XakckISljylihvEcRXpKVXhgTOis7WoOiGXg', 'm6dfgwVU3suyTZQhyvMNqBDS8vLwortEMVAj1X62yeuOKXEfvVzzpan-aIiXQahUkzF6ItR8pvUCCA', 'ascbC5gQi3MwxmI25uHY860-hMUIVCmuChayk1O8EjKPAedA7nXwgA0Z5tND3FxwNpAnch_hocsbaw', 'SPt2Tu4Mfs5z8gxUxtSlSG5EZlk1sJcEpqOlcM-RLa-TBY-4FkxNfTsk9IDEPwpdyLceleCoOOpXKQ', 'L1NyAfuFm_uBzo_IundTBnFykDY-um_lxQFa_kOhZ25z7qJg69Voodwr0oF9qTtFU-mjS9n0r9aIMQ', 'SrcVdsj510RyC8MRouAQEhd6Srr2PwTGQMEx7lc6pdeiIV77tu1HVnzOpOjSu5mD_gqdO2Z2e1A3Ug', 'm6Gt-A_U7vRWaO219CV4y4bm1XN84H0t_5nW2eOVuofjgwrkVVXWrreK2qZIMgB9LznhJnT0KuMyKg', 'HyOuuzMEUYOHQfNvmi8iEzxDolzZLuRHJzq68g4I4nQW3dF0Pkg-Fdl0XoxfdyFccCxOyt6XKKQM0w', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ']","['Warwick', 'Teemo', 'Zed', 'Caitlyn', 'Lux', 'Aurora', 'Darius', 'Jayce', 'Ezreal', 'Morgana']"
EUW1_7184458376,CLASSIC,420,2024-11-12 19:51:38.500000,46,"['rVqBIQmt-LxxBH0KI6p6btDaQ3nGcgoRhjPXqHrlIC76ZDDuq6pU1jrsrlIpZjbxjIMj5DLTjeXbSg', 'OU0GUubQ6iPb_19XprpHbnvt7R8pllFqVcjnf2orP14x8eZpKg2t9d9uwTGKXqeeHqmOX42l7UvDNw', 'm6Gt-A_U7vRWaO219CV4y4bm1XN84H0t_5nW2eOVuofjgwrkVVXWrreK2qZIMgB9LznhJnT0KuMyKg', '0P3FnatiRfzCdAUEN8DKBbp2qTc56NFoGK8qJOjawuUOgVCQCqYsXq--VzO7mcMMVXenHjqTaBN7oQ', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ', 'FWYH6r6yvwd4oe-SjNkhGLr1KwKdhXeQ9w_SkKPL8vARPeWYmWSFPan3T4TxbYuK8cP5hvLt_WhMPg', 'oarW4KOxQxqVs_GZ9Z1SPdyE4PZGfzne4tLuf_WKKt8K9M4y72BodNZPGlLYcVn2dEYvMObUjRkr5Q', 'I-PCyCWz_mR3j5ym9uvO4yKuGwTlcVQfMTauQEJROFfpYlPgQpy8ySTFy4g0nbrLfgXQuR8esWfZKg', 'uSZfw4W1nlSFrntkqCyU39NUZrkJemMEpm1gTGFOG5cMXU_yqS4Lrc0b40nplsvir2u_eS09epVnXw', 'DccqaVHR2Ch--_YR1RhBSc5wOt9GbvgwpwM2TVDF_NzQ9rZOSHAGZA21K5ysMd-G4GJghQEU8LUF3w']","['Jax', 'Graves', 'Xerath', 'MissFortune', 'Lux', 'DrMundo', 'Teemo', 'Katarina', 'Caitlyn', 'Rakan']"
EUW1_7180497035,CLASSIC,420,2024-11-09 16:53:33.106000,27,"['gsX32KPV_GtEYUMK_c0MOQrEEQV11fPCcpPVEndnc4MxERBJRQliWrpU-HcrwM2F7vLt5XGJ4v8QNg', 'fvmquTUh-NGe2l8QLOC6H2Ltdi6qMCG2dsvvbB4YFHeEKomzXivtlV8qJViueGFFLoK9ZbcyUHkeNA', 'igD-5h6Hw6MbKMYlCUpXPiTb5rBC0_npdolWVEclwtpMlZo6HH1OjsK83M-YvcOnyaEHJyy9t_H7IA', 'qNn7WgjlQEESDRBlSNrQC7ZhNihbPRvBNLvBA_FDuvEu8uXnQB8gIpr0des0fEC-DfWMouR1mr9Ymw', 'itBKxpz2Ets7U1YtZTl9nBlRrbMozjEWL2RoI-SLWyD0h_1RJy9BECSpDmFRxkjRmVVBDPoaTq0-dQ', 'k6xZ9QDZW_EM1-Oz9lcaXts5ldtUtyrQMBkBb3_7BOWlhQPRDZKpogeDiQ_LPT0ijh-0DbLR6qTqug', 'IqPIlm5wLB0Xnet-njb9xFQ8e7Nim6e78FngiRhNV8m-TxGPNifWyVNMr_jutidAvhBKUf0xWH3Wiw', 'm6Gt-A_U7vRWaO219CV4y4bm1XN84H0t_5nW2eOVuofjgwrkVVXWrreK2qZIMgB9LznhJnT0KuMyKg', '-oO2aU2ule1XVgOinV6x-OZJDhQi5oNEeVr8Iee6ZBntj9pdmATUUO-gnoavmjF-7UIpTyqH4m4HbA', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ']","['Urgot', 'Amumu', 'Akshan', 'MissFortune', 'Janna', 'Mordekaiser', 'Kayn', 'Xerath', 'Caitlyn', 'Morgana']"
EUW1_7180468095,CLASSIC,420,2024-11-09 16:31:30.012000,15,"['Sf4I8Tw8v8UC-mg9lkJv8Ymx7eODZLLYtvmqW0jheilIXXdztMeoN96Iv8KMv39gWpm6N3P_07uTFg', 'w8fEv5et5v6brkF2zuW-IpzRC5kii_ocOnuzNMI-A-GQWADVkb3PWv5bpYwFIOUygfpey0L-qK8s7w', 'm6Gt-A_U7vRWaO219CV4y4bm1XN84H0t_5nW2eOVuofjgwrkVVXWrreK2qZIMgB9LznhJnT0KuMyKg', 'JGVb2aJ1cUdzBFoQV7Ubn3XAGoLf7j0of1jFu-bzCXqMi11ePWHBqI5z176Aximd-mXDa2v6XHFXbA', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ', 'ljUhj_GrlPvSesEvFDpA4TLC0uZwkklvzjBHdTe0Xx7aCfEno91-NkiFaZQbq7UxNhJi9NGeMqCXww', '_uqQG7UDe4DK368foD-ZTAO3CtvkbAGtKMtXZc2zFz7fyGvgg2GdQVWt7h5VsHDD9elwjPxb2blBzQ', 'Y-FkAxEttALbUaImBJV3g9Q9dJNj9ypa-DQ7X51l9F9Tx1SnwwnBh5zsJVnUnX1fenmwfulLnD-HcA', '36Zx1hDkI81VI_UQ0c0bAxI_dK2J9VmkAP6FlcasBFfHRn0b5eC7MzUFu-2kC3h92R9cmd27M5mSnw', 'd9Zl-l9YEE7wVy57UBq2e8BEW3nLjFuqTyYQrBxumXgzneBdb4pg8aPIwNwSkiwzV2WaGFzmsSgJlQ']","['Darius', 'Vi', 'Ahri', 'MissFortune', 'Janna', 'Pantheon', 'Khazix', 'Kassadin', 'Ashe', 'Pyke']"
EUW1_7180444668,CLASSIC,420,2024-11-09 16:08:50.902000,16,"['yVFp3u1N2roaQ-QSZjTZeI4a5FOscq8q-qtL580pNN4DGvIecZPlN3J0KbCVETegb_uxb6MKrpt0SA', 'AGPCbL70hYu-YbkubyvE-OerAsyv33plWwVl_6pZ8wEiu1Q2JUSqG8XdctEUkyef__ZJ3i1gcY4msg', '9UdSzK0_acOnZnedlYZDAG_WVS0gbeYAE6ESLfIT9vBCVBD5sLEHRabzP5OUBYiKwNyypZUjYlNSUg', 'RSykGBCiFPmvKeFEBAV8av_RyGvAip0mjrgWacmi-jqS0tJuJRUEcRdM3cMWeyxCdWZ3frg_1Gi94w', 'qJ1EODwjVu3-dmG6p7-kDMQj5KPX9T616RfCSJGi3dAmyvRyFpwb-IZ4JNvhhEaRF4EmI5DjD8RdhA', 'Xtv7LUSCIKPn0te3TsidCmg8c1KNBl6dQMauGyB2Xk4ofszrMZB4CuKpKx34vLykcxUfPcPkzgHU2A', 'YfACj_Y5s_TtSWY6GK_erWW8lcP4SEeWhM5T3pSdKcgx6RzRjZ9YNdASyKJfJ2Rrci2cQTaUPCw3UA', 'm6Gt-A_U7vRWaO219CV4y4bm1XN84H0t_5nW2eOVuofjgwrkVVXWrreK2qZIMgB9LznhJnT0KuMyKg', 'YJe_zifm9Z2Z6-ZNfI_UHQ7_z2XRuy9-RhJlGcgLxQnq4sQiwk9fFDx7Bs9vqO-JJmBCsXXKX0-uPw', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ']","['Yone', 'Viego', 'Akali', 'MissFortune', 'Lux', 'Malphite', 'LeeSin', 'Ahri', 'Lucian', 'Seraphine']"
EUW1_7177111566,CLASSIC,420,2024-11-06 19:55:58.763000,35,"['8qMxGZQ3PPpfO54_29kS_Rten3guqLfOQdqF0fEk81YInT5UsQvaQSt6c75Z1kyJ85Efj2E2BUVPSg', 'KZ_BoTHFssz62E6qFsBdhuc1f1khcDjiYSoPCfZlXs8lgopr39cI_0tj3RI24wEKnmG31Kw4Uq2Iww', 'm6Gt-A_U7vRWaO219CV4y4bm1XN84H0t_5nW2eOVuofjgwrkVVXWrreK2qZIMgB9LznhJnT0KuMyKg', '1kGm8h9RsV-EZvMUWGrYg7aedOs4J3EBvpeN46aCYmiUs5LA41Y2gK4Bm2FuUdEm8Eeila1CFAuGLw', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ', 'fZoJupE7VUDII9vrj7JITcflFCcUQqzFHYzTBbJn-jYacVuwrBshw3oR86BW40CjOGEMuImiH7U4Ew', 'TA4enMCCao-0OZ2GZpwWskPlurRw4pSKkgRHWbHLXjMAPKg8cLjA4OZ5UG001xcVd7kg_0oXHa4kTg', '7rJXOhY6YTkF0YyJDMwzmYB7nGeIA7wbWM8vq_HvW1VHEpuc_LS5C68aAz1DR8Op8_rrkneDLpTzSA', 'd5-Cm7jR01FacIjMo7CtnrszctPl1zUhPR0KMhyeYZGuy_UqOR0nDr31A2QvU0ODbOu2i6L6-5Qwfw', 'wz5Fa4bNDda8lEuHDPVZy2A-EtsX3Iic4pbkG9ANVyPbnO0R1J4Sy9KVlnf7AvaABVkv6x7ydJf2wQ']","['Tryndamere', 'Amumu', 'Ahri', 'Caitlyn', 'Janna', 'Malphite', 'Elise', 'Yone', 'MissFortune', 'Thresh']"
EUW1_7177042720,CLASSIC,420,2024-11-06 19:20:02.121000,31,"['gEXXgdXU82Sfu5-2YawVAUUycKCXuqRWXfryfh4dwIWcSg5Q93M42w5OSTTS1GDySjXR06XQwdMaSA', 'FEmc60hZPssWtcYCc0ZqXy7tBGqCVEiLzEDts1QcRfYYtmuitBZi2K-Ke4R5VKU1F-P7xzGftyGiBw', 'K7XmeMWAMTu9JCQoIhBiQa93G65uV_9YeWl2RlHVa_9Yc35PzR8MQ7h9q_u-5bC3iFEt50cDSNi_9g', 'm6Gt-A_U7vRWaO219CV4y4bm1XN84H0t_5nW2eOVuofjgwrkVVXWrreK2qZIMgB9LznhJnT0KuMyKg', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ', 'aHd3u2m4gR1HSpSNHlETkdHT9uaEchqPq1kksxY3QZNkvI1GV9QbtjJAediGbo1aXgBz07ZTsw7mIg', 'VJ31t2yc2XqHcI7I_ClWXEvbSCjCsgabeUWeqNT3ZOWU6W4qQ-QZXe07_L-8JD-ENPjemiZc_24_KA', 'E9iM9WpXCRiwZDIGqUXJCt1wcg5IFJEHiZVG8U02E5o9TKqaTMUrPMKYGksed8e-0vIwul0Y6Wltgg', '4hwrrXfI3hnsXg_hZ-FgkSM_wuHvmMlLV_mVJE8vqRNrfU2OrM2p-aXxO_MNw1hcNIsJCfR3ENv02A', 'bsJfjFCCdlEWcNYQ_--twVwBqp-zaFvMP28ugUXywv95wzY94vJ9UZv7oBFVXo-tD5vWqWrk1xw-DA']","['MonkeyKing', 'Warwick', 'Cassiopeia', 'Lucian', 'Nami', 'Urgot', 'Volibear', 'AurelionSol', 'Lux', 'Blitzcrank']"
EUW1_7125975688,CLASSIC,440,2024-09-21 12:06:06.607000,34,"['Nl7MMirBoi98bSImUkp5zg6Nqw7_2y565in68smFF3tRGyLxwJhxktgiZ75F3K1euKHaqBsJQR5XxA', '8LI64wkOtV2Uv2s_tKJ18oW-OmZNs_U0Mj5bwuIocvg4qqJ2EtR_-dy9Sf8nIVNaV7ogR4_6bebsZg', 'wnczozn2WssVvMcGlzgDLWMvaFzskqjvlO1_cddvLd2wbxxvYMnAwrJufIXdcI1pUs6tFvYui1hQ-g', 'ijGiiEzppEiDoesyNY6hzWoWQHQx4Pj2yG9_uVDLeP0kJsDv0uCwDreoE7qtviUGXwzWBHtinwzUHg', 'RGufHedhNMAAnXxlC_MxIRgdwV1CMF84hd-4ZzrGzHOZ8HJTa1T46y0Cc-oDbmx0U2e6c8dGWj32NA', 'Rkp3lNh1mtFovsGW6n28p45_lIjsMMSfuFkrmQOkAKRtK2NARe57d_YnsYNofj2plYsCJXvfo_rwkw', 'My3iA4tnLkhX4Mh231m4JMiVJAULBVHvqkUpjL-zK6qQ1xLdFY6RvWznMpLWAnfNq0J5wrBfBQW7Rw', 'UGcWueKCnig7k0-C-EBMOCb8D4LtZfQOIXe8T4cj-CRK4EXHJ0J9crpGbZ7nG3w-Tt1ebmPTCEj1rg', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ', '_IVJZXSG8zmteBzJRLn-2cTaGsM5ah-HqweQMT7ZpLsRUwe2nyaGjnMc2D_jsP_QckEnLqhGty6c2A']","['Mordekaiser', 'LeeSin', 'Qiyana', 'Caitlyn', 'Blitzcrank', 'Yorick', 'Viego', 'Syndra', 'Vayne', 'Morgana']"
EUW1_7125927520,CLASSIC,440,2024-09-21 11:16:13.298000,40,"['Xm0RJdq3RlnA1YyLXjIT9tEgUj24bgHhaHPwFSXKO4ZtwOI3TpXlvcQabaZnsGexf7k6fumW945P0Q', 'epp7Segk0Q908HN4Q8bF8hoxCmlWrxGImNGsI-CP3y6IHgZwj0ADebvn5Ur4_gR_w_AhXs_iRAL8IQ', 'My3iA4tnLkhX4Mh231m4JMiVJAULBVHvqkUpjL-zK6qQ1xLdFY6RvWznMpLWAnfNq0J5wrBfBQW7Rw', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ', '_IVJZXSG8zmteBzJRLn-2cTaGsM5ah-HqweQMT7ZpLsRUwe2nyaGjnMc2D_jsP_QckEnLqhGty6c2A', 'Yd1BM0cIdLggy1R8B4-2Nn1rdUAo2OviTb1sJvRVtyP59eQP8gYzf6b3Wrjm1CkrpLu26PjUiTyg6g', 'QbKNk1xfKlibubppVxNdxFbe179EzMUbRqdaduZeii7e43DZs9iq8LddAFTjej-aurmiTudWNvViqw', '9ElVJOaR3gColgwmCfC6NnrKLCWmkTA7I9VmAmNdlvm2QPr6L2JfdPZbNuxsL6LnSLlkKiRHF3OTiQ', '9Cmu0Ji_lTiP2VNYOMRVIUe7utp8s0ximmzJ1CXaRzkFE8zWmog9Bd7nrSEkPIQafBsSCeVsWfq1PQ', 'ZXqtUvKbtOU4wYoOrK3KT5HcwGgDrnjSmgrV-2Cnb0CkybPWOWk-AgFQ-bxw7nm3BgKa9TqQALZjzA']","['Jax', 'Warwick', 'Sylas', 'Kaisa', 'Lux', 'Chogath', 'MonkeyKing', 'Hwei', 'Lucian', 'Nami']"
EUW1_7125895702,CLASSIC,440,2024-09-21 10:45:34.686000,24,"['9eqn1zCeSaIoqnh1dTbwEXKXr8FRuNsstf3UB0UsMv1YtRBWZAaOYZkOqDFxCGhEIcvlvQQRySHR7Q', 'lNJeG0fcQ3EaV1_KmAhwQbbPa10D1Z4SmxsBbtP6CTOgDc5kyyAwLVDim1jC5o-kyvFmfng0aPg_HQ', 'NZx0n5jjbAspDIHTn8NPOw9E8xw4dIt1prchRmpKO8ucPhe8asV5Y4S6Gv08qFIiSa7wBPTO9lPzUA', 'L65tmyITSowKLUXVgDFH7orWwH3e_D3-UGFepnjLx1Sl0ePrRVcsrIYzUmZ_go2oc_D9GjxS4KUQPQ', '9MkEL3S0thJXMYDYjWMfIDtWRbBcrfId0NfpaHC_Y4EQJ59SZcuiI9BPdzYM9RW0BDOgCJX7dV55WQ', 'zzEqNosZJXoPQdKo6-FJKh_0B5pZHqbxAVI_hcEZLQ7WQrFkhYPwodV9pSmtR6SGcm8MtfHYWTab2Q', 'j6e30tbuzxkyxVVztJkvI0pEc9Oj7-2IUMVraDzMsdJg4c1ccTDsgMhIj4jEuD0tHnHdTNQ2e1u-Ag', 'My3iA4tnLkhX4Mh231m4JMiVJAULBVHvqkUpjL-zK6qQ1xLdFY6RvWznMpLWAnfNq0J5wrBfBQW7Rw', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ', '_IVJZXSG8zmteBzJRLn-2cTaGsM5ah-HqweQMT7ZpLsRUwe2nyaGjnMc2D_jsP_QckEnLqhGty6c2A']","['Warwick', 'Diana', 'Yasuo', 'Ezreal', 'Sona', 'Malphite', 'Khazix', 'Sylas', 'MissFortune', 'Morgana']"
EUW1_7125854806,CLASSIC,440,2024-09-21 10:04:18.480000,29,"['7osH-YDdq5MJkZhFYHUDdpVI4MZIQ9uSR8xfghXdrt_3Q8An5URTnuoe4Rk-6b09smkfs2yPLFxQfw', 'MRJKyzDHxPEG66FAqTi7Nvd64cAR-G0I1OzFDNT7hLG73u5amhhgah5XJ3krZ-yGEdUuvpY1_1ugCA', 'GEpkd40HNrw6iWlW2799c2zqvHVG9NnSObphift2MPyEy3Md66mepOnhSDV_qmKZ0xDhr45R0634aA', 'hgnWvmMf_M5HVXRHSsIZFuUeCP7sGIU63QXBPftUycWYKx8UZSH1dLA3vrV-27HIlbqHer2oXsvQvA', '6bTVIPD8hrvPGgyD9Up7TkKxzQtCGkZvZN-BPdztnl21uL9JS_xaxpG6h-oJYYBP51GpCeN90WaghA', '7dwKTYz6_LGFNHd1X_Y5kWZuc3kwos6eHLHAhYtqKW2cpVyz03cz-cbZQuGfkHHkLACXh13KpE0c6A', '_IVJZXSG8zmteBzJRLn-2cTaGsM5ah-HqweQMT7ZpLsRUwe2nyaGjnMc2D_jsP_QckEnLqhGty6c2A', 'My3iA4tnLkhX4Mh231m4JMiVJAULBVHvqkUpjL-zK6qQ1xLdFY6RvWznMpLWAnfNq0J5wrBfBQW7Rw', 'Tz7XMN7rYzJLnTwqDznPmgC6E1eYECx4-FS6JmGqgwqysCQH1STuGlWQjOAJ0Pe-NqHfXVCsLQXPeQ', '0Ml57ApzU2EoeCviMinmplYkJrrt37TF4qPN2u4c9SuLLS3Aik-ZhLwnY8R-LIEe0Kqj_qD4V_x09Q']","['TahmKench', 'JarvanIV', 'Ahri', 'Ashe', 'Braum', 'Singed', 'Nocturne', 'Sylas', 'Jinx', 'Lulu']"
